Ticks: 00000532	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: b7 Register BC: 0110 Register DE: c010 Register HL: 4011	Flags: --HC
Ticks: 00000536	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: b7 Register BC: 0110 Register DE: c010 Register HL: 4011	Flags: --HC
Ticks: 00000544	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: b7 Register BC: 0110 Register DE: c011 Register HL: 4011	Flags: ---C
Ticks: 00000556	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: b7 Register BC: 0110 Register DE: c011 Register HL: 4012	Flags: ---C
Ticks: 00000560	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c8 Register BC: 0110 Register DE: c011 Register HL: 4012	Flags: ---C
Ticks: 00000564	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c8 Register BC: 0110 Register DE: c011 Register HL: 4012	Flags: ---C
Ticks: 00000572	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c8 Register BC: 0110 Register DE: c012 Register HL: 4012	Flags: ---C
Ticks: 00000584	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c8 Register BC: 0110 Register DE: c012 Register HL: 4013	Flags: ---C
Ticks: 00000588	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: f5 Register BC: 0110 Register DE: c012 Register HL: 4013	Flags: ---C
Ticks: 00000592	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: f5 Register BC: 0110 Register DE: c012 Register HL: 4013	Flags: ---C
Ticks: 00000600	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: f5 Register BC: 0110 Register DE: c013 Register HL: 4013	Flags: ---C
Ticks: 00000612	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: f5 Register BC: 0110 Register DE: c013 Register HL: 4014	Flags: ---C
Ticks: 00000616	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 3e Register BC: 0110 Register DE: c013 Register HL: 4014	Flags: ---C
Ticks: 00000620	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 3e Register BC: 0110 Register DE: c013 Register HL: 4014	Flags: ---C
Ticks: 00000628	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 3e Register BC: 0110 Register DE: c014 Register HL: 4014	Flags: ---C
Ticks: 00000640	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 3e Register BC: 0110 Register DE: c014 Register HL: 4015	Flags: ---C
Ticks: 00000644	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: df Register BC: 0110 Register DE: c014 Register HL: 4015	Flags: ---C
Ticks: 00000648	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: df Register BC: 0110 Register DE: c014 Register HL: 4015	Flags: ---C
Ticks: 00000656	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: df Register BC: 0110 Register DE: c015 Register HL: 4015	Flags: ---C
Ticks: 00000668	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: df Register BC: 0110 Register DE: c015 Register HL: 4016	Flags: ---C
Ticks: 00000672	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: cd Register BC: 0110 Register DE: c015 Register HL: 4016	Flags: ---C
Ticks: 00000676	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: cd Register BC: 0110 Register DE: c015 Register HL: 4016	Flags: ---C
Ticks: 00000684	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: cd Register BC: 0110 Register DE: c016 Register HL: 4016	Flags: ---C
Ticks: 00000696	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: cd Register BC: 0110 Register DE: c016 Register HL: 4017	Flags: ---C
Ticks: 00000700	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 03 Register BC: 0110 Register DE: c016 Register HL: 4017	Flags: ---C
Ticks: 00000704	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 03 Register BC: 0110 Register DE: c016 Register HL: 4017	Flags: ---C
Ticks: 00000712	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 03 Register BC: 0110 Register DE: c017 Register HL: 4017	Flags: ---C
Ticks: 00000724	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 03 Register BC: 0110 Register DE: c017 Register HL: 4018	Flags: ---C
Ticks: 00000728	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c0 Register BC: 0110 Register DE: c017 Register HL: 4018	Flags: ---C
